year,district,winner,cost,firm2,firm3,firm4,firm5,firm6,number_bidders,cartel_wins,cartel_year
80,46078,ROYAL CREST,0.14,MEADOW GOLD,,,,,2,0,1
81,46078,H. MEYER,0.123,ROYAL CREST,,,,,2,1,1
82,46078,ROYAL CREST,0.1215,H. MEYER,,,,,2,0,1
83,46078,CLOVER LEAF,0.11,ROYAL CREST,,,,,2,0,0
84,46078,CLOVER LEAF,0.125,LOUIS TRAUTH,,,,,2,0,1
85,46078,CLOVER LEAF,0.1295,LOUIS TRAUTH,,,,,2,0,1
86,46078,CLOVER LEAF,0.132,BEATRICE,,,,,2,0,1
87,46078,CLOVER LEAF,0.1345,,,,,,1,0,1
88,46078,CLOVER LEAF,0.137,,,,,,1,0,1
89,46078,H. MEYER,0.137,,,,,,1,1,0
90,46078,H. MEYER,0.1657,,,,,,1,1,1
80,45146,H. MEYER,0.1345,COORS BROTHERS,LOUIS TRAUTH,WILSON,,,4,1,1
81,45146,H. MEYER,0.1069,BOERGER,COORS BROTHERS,LOUIS TRAUTH,,,4,1,1
82,45146,H. MEYER,0.1397,COORS BROTHERS,LOUIS TRAUTH,,,,3,1,1
83,45146,LOUIS TRAUTH,0.1019,COORS BROTHERS,H. MEYER,,,,3,1,0
84,45146,LOUIS TRAUTH,0.133,COORS BROTHERS,H. MEYER,,,,3,1,1
85,45146,LOUIS TRAUTH,0.138,COORS BROTHERS,H. MEYER,,,,3,1,1
86,45146,LOUIS TRAUTH,0.14,COORS BROTHERS,H. MEYER,,,,3,1,1
87,45146,H. MEYER,0.15,COORS BROTHERS,LOUIS TRAUTH,,,,3,1,1
88,45146,H. MEYER,0.1525,LOUIS TRAUTH,,,,,2,1,1
89,45146,H. MEYER,0.1275,LOUIS TRAUTH,,,,,2,1,0
90,45146,H. MEYER,0.1657,,,,,,1,1,1
81,45153,SUPERIOR,0.122,BROOKFIELD DAIRY,,,,,2,0,1
82,45161,SUPERIOR,0.12,,,,,,1,0,1
83,45161,SUPERIOR,0.124,,,,,,1,0,0
84,45161,SUPERIOR,0.1277,BORDEN,BROOKFIELD DAIRY,,,,3,0,1
85,45161,BORDEN,0.1394,DEAN,SUPERIOR,,,,3,1,1
86,45161,DEAN,0.13,BORDEN,SUPERIOR,,,,3,0,1
87,45161,DEAN,0.128,BORDEN,,,,,2,0,1
88,45161,DEAN,0.1286,BORDEN,,,,,2,0,1
89,45161,DEAN,0.1299,BORDEN,,,,,2,0,0
82,45179,MEADOW GOLD,0.12,SUPERIOR,,,,,2,1,1
83,45179,MEADOW GOLD,,DAIRY FARM,SUPERIOR,,,,2,1,0
84,45179,MEADOW GOLD,0.126,SUPERIOR,UNITED DAIRY,,,,3,1,1
85,45179,MEADOW GOLD,0.13,SUPERIOR,UNITED DAIRY,,,,3,1,1
86,45179,MEADOW GOLD,0.1095,SUPERIOR,UNITED DAIRY,,,,3,1,1
87,45179,BORDEN,0.126,SUPERIOR,UNITED DAIRY,,,,3,1,1
88,45179,BORDEN,0.1365,REITER,UNITED DAIRY,,,,3,1,1
89,45179,BORDEN,0.1495,REITER,SUPERIOR,UNITED DAIRY,,,4,1,0
90,45179,BORDEN,0.1438,BROUGHTON,REITER,UNITED DAIRY,,,4,1,1
87,44859,DEAN,0.1255,SUPERIOR,,,,,2,0,1
88,44859,DEAN,0.1286,BORDEN,SUPERIOR,,,,3,0,1
89,44859,DEAN,0.1415,BORDEN,,,,,2,0,0
90,44859,DEAN,0.1439,,,,,,1,0,1
80,45625,MEADOW GOLD,0.1219,SMITH,,,,,2,1,1
81,45625,MEADOW GOLD,0.126,SMITH,,,,,2,1,1
82,45625,MEADOW GOLD,0.121,,,,,,1,1,1
83,45625,MEADOW GOLD,0.1248,SMITH,,,,,2,1,0
84,45625,MEADOW GOLD,0.122,SMITH,,,,,2,1,1
85,45625,SMITH,0.1265,MEADOW GOLD,,,,,2,0,1
86,45625,MEADOW GOLD,0.125,SMITH,,,,,2,1,1
87,45625,MEADOW GOLD,0.1332,SMITH,,,,,2,1,1
88,45625,SMITH,0.1364,,,,,,1,0,1
89,45625,TOFT DAIRY,0.1365,SMITH,,,,,2,0,0
80,44842,DAIRYMENS,0.1095,HILLSIDE,SMITH,,,,3,0,1
81,44842,DAIRYMENS,0.1215,HILLSIDE,SMITH,,,,3,0,1
82,44842,DAIRYMENS,0.1225,HILLSIDE,SMITH,,,,3,0,1
83,44842,DAIRYMENS,0.1265,HILLSIDE,SMITH,,,,3,0,0
84,44842,DAIRYMENS,0.128,HILLSIDE,SMITH,,,,3,0,1
85,44842,DAIRYMENS,0.1245,HILLSIDE,SMITH,,,,3,0,1
86,44842,DAIRYMENS,0.1225,HILLSIDE,SMITH,,,,3,0,1
87,44842,DAIRYMENS,0.129,SMITH,,,,,2,0,1
88,44842,DAIRYMENS,0.129,HILLSIDE,SMITH,,,,3,0,1
89,44842,DAIRYMENS,0.134,HILLSIDE,,,,,2,0,0
90,44842,DAIRYMENS,0.154,HILLSIDE,SMITH,,,,3,0,1
85,44834,REITER,0.119,SUPERIOR,,,,,2,0,1
86,44834,REITER,0.12,HILLSIDE,SUPERIOR,,,,3,0,1
87,44834,REITER,0.1182,SUPERIOR,,,,,2,0,1
88,44834,REITER,0.1207,HILLSIDE,,,,,2,0,1
89,44834,REITER,0.1352,HILLSIDE,,,,,2,0,0
80,45641,MEADOW GOLD,,,,,,,0,1,1
81,45641,BABCOCK DAIRY,0.1217,ARPS DAIRY,MEADOW GOLD,,,,3,0,1
82,45641,MEADOW GOLD,,,,,,,0,1,1
83,45641,MEADOW GOLD,0.1171,ARPS DAIRY,BABCOCK DAIRY,,,,3,1,0
84,45641,DRIGGS DAIRY,,MEADOW GOLD,,,,,1,0,1
85,45641,MEADOW GOLD,0.1241,ARPS DAIRY,,,,,2,1,1
86,45641,MEADOW GOLD,0.119,ARPS DAIRY,,,,,2,1,1
87,45641,MEADOW GOLD,0.1226,ALLEN DAIRY,ARPS DAIRY,,,,3,1,1
88,45641,MEADOW GOLD,0.123,ALLEN DAIRY,ARPS DAIRY,,,,3,1,1
89,45641,MEADOW GOLD,0.147,ALLEN DAIRY,ARPS DAIRY,,,,3,1,0
90,45641,ARPS DAIRY,0.157,ALLEN DAIRY,BORDEN,SMITH,,,4,0,1
88,47415,REITER,0.1204,,,,,,1,0,1
89,47415,REITER,0.1241,,,,,,1,0,0
90,47415,REITER,0.1625,SMITH,,,,,2,0,1
84,46409,LOUIS TRAUTH,,,,,,,0,1,1
85,46409,LOUIS TRAUTH,,,,,,,0,1,1
86,46409,LOUIS TRAUTH,,,,,,,0,1,1
87,46409,LOUIS TRAUTH,0.1259,,,,,,1,1,1
88,46409,LOUIS TRAUTH,0.129,,,,,,1,1,1
89,46409,LOUIS TRAUTH,0.132,,,,,,1,1,0
90,46409,LOUIS TRAUTH,0.179,H. MEYER,,,,,2,1,1
84,43869,ARPS DAIRY,0.125,DEFIANCE DAIRY,MEADOW GOLD,,,,3,0,1
85,43869,ARPS DAIRY,0.125,DEFIANCE DAIRY,ALLEN DAIRY,MEADOW GOLD,,,4,0,1
86,43869,ARPS DAIRY,0.123,DEFIANCE DAIRY,ALLEN DAIRY,MEADOW GOLD,,,4,0,1
87,43869,ARPS DAIRY,0.136,DEFIANCE DAIRY,MEADOW GOLD,,,,3,0,1
88,43869,ARPS DAIRY,0.136,DEFIANCE DAIRY,ALLEN DAIRY,MEADOW GOLD,,,4,0,1
89,43869,ARPS DAIRY,0.146,DEFIANCE DAIRY,ALLEN DAIRY,,,,3,0,0
90,43869,ARPS DAIRY,0.157,DEFIANCE DAIRY,ALLEN DAIRY,,,,3,0,1
80,43604,BROUGHTON,0.1325,UNITED DAIRY,VALLEY BELL,,,,3,0,1
81,43604,BROUGHTON,0.1375,UNITED DAIRY,,,,,2,0,1
82,43604,BROUGHTON,0.1375,,,,,,1,0,1
83,43604,BROUGHTON,0.1375,UNITED DAIRY,VALLEY BELL,,,,3,0,0
84,43604,BROUGHTON,0.1375,VALLEY BELL,,,,,2,0,1
85,43604,BROUGHTON,0.1425,VALLEY BELL,,,,,2,0,1
86,43604,BROUGHTON,0.1425,VALLEY BELL,,,,,2,0,1
87,43604,BROUGHTON,0.1425,,,,,,1,0,1
88,43604,BROUGHTON,0.15,,,,,,1,0,1
89,43604,BROUGHTON,0.1475,,,,,,1,0,0
90,43604,BROUGHTON,0.1558,VALLEY BELL,,,,,2,0,1
81,43760,MEADOW GOLD,0.127,,,,,,1,1,1
82,43760,MEADOW GOLD,,,,,,,0,1,1
83,43760,DAIRY FARM,0.1185,MEADOW GOLD,,,,,2,0,0
84,43760,UNITED DAIRY,0.1285,MEADOW GOLD,,,,,2,0,1
85,43760,UNITED DAIRY,0.1305,MEADOW GOLD,,,,,2,0,1
86,43760,MEADOW GOLD,0.1094,,,,,,1,1,1
87,43760,UNITED DAIRY,0.1275,BORDEN,,,,,2,0,1
88,43760,UNITED DAIRY,0.129,,,,,,1,0,1
89,43760,UNITED DAIRY,0.141,,,,,,1,0,0
90,43760,UNITED DAIRY,0.156,,,,,,1,0,1
80,50534,SMITH,0.1235,SUPERIOR,,,,,2,0,1
81,50534,SMITH,0.129,,,,,,1,0,1
82,50534,SMITH,0.1247,SUPERIOR,,,,,2,0,1
83,50534,SMITH,0.1224,SUPERIOR,,,,,2,0,0
84,50534,SMITH,0.129,SUPERIOR,,,,,2,0,1
85,50534,SMITH,0.128,SUPERIOR,,,,,2,0,1
86,50534,SMITH,0.128,REITER,SUPERIOR,,,,3,0,1
87,50534,SMITH,0.1353,REITER,SUPERIOR,,,,3,0,1
88,50534,SMITH,0.1354,REITER,,,,,2,0,1
89,50534,SMITH,0.1414,REITER,,,,,2,0,0
90,50534,SMITH,0.1535,,,,,,1,0,1
80,43828,MEADOW GOLD,0.1075,,,,,,1,1,1
81,43828,GOSHEN,0.1237,,,,,,1,0,1
82,43828,MEADOW GOLD,0.1125,GOSHEN,SMITH,SUPERIOR,,,4,1,1
83,43828,MEADOW GOLD,0.1185,GOSHEN,SMITH,SUPERIOR,,,4,1,0
84,43828,MEADOW GOLD,0.12,GOSHEN,SMITH,SUPERIOR,,,4,1,1
85,43828,GOSHEN,0.1222,MEADOW GOLD,SMITH,SUPERIOR,,,4,0,1
86,43828,GOSHEN,0.1222,,,,,,1,0,1
87,43828,GOSHEN,0.1238,,,,,,1,0,1
88,43828,GOSHEN,0.1238,SMITH,,,,,2,0,1
89,43828,GOSHEN,0.1328,,,,,,1,0,0
90,43828,GOSHEN,0.1487,BORDEN,SMITH,,,,3,0,1
80,44271,H. MEYER,0.113,WILSON,,,,,2,1,1
81,44271,COORS BROTHERS,0.123,H. MEYER,LOUIS TRAUTH,,,,3,1,1
82,44271,H. MEYER,0.1498,COORS BROTHERS,LOUIS TRAUTH,,,,3,1,1
83,44271,H. MEYER,0.1011,COORS BROTHERS,LOUIS TRAUTH,,,,3,1,0
84,44271,H. MEYER,0.1175,BEATRICE,COORS BROTHERS,LOUIS TRAUTH,,,4,1,1
85,44271,H. MEYER,0.1295,COORS BROTHERS,LOUIS TRAUTH,,,,3,1,1
86,44271,H. MEYER,0.132,COORS BROTHERS,LOUIS TRAUTH,,,,3,1,1
87,44271,H. MEYER,0.1475,COORS BROTHERS,LOUIS TRAUTH,,,,3,1,1
88,44271,H. MEYER,0.15,COORS BROTHERS,LOUIS TRAUTH,,,,3,1,1
89,44271,H. MEYER,0.1275,LOUIS TRAUTH,,,,,2,1,0
90,44271,H. MEYER,0.163,LOUIS TRAUTH,45195,,,,3,1,1
80,62042,SMITH,0.1218,,,,,,1,0,1
81,62042,SMITH,0.1253,,,,,,1,0,1
82,62042,SMITH,0.1268,,,,,,1,0,1
83,62042,SMITH,0.1315,,,,,,1,0,0
84,62042,SMITH,0.133,,,,,,1,0,1
85,62042,SMITH,0.132,,,,,,1,0,1
86,62042,SMITH,0.131,REITER,,,,,2,0,1
87,62042,SMITH,0.1363,,,,,,1,0,1
88,62042,SMITH,0.1374,BORDEN,,,,,2,0,1
89,62042,SMITH,0.1434,REITER,,,,,2,0,0
90,62042,SMITH,0.1555,,,,,,1,0,1
86,61903,MEADOW GOLD,0.1215,LOUIS TRAUTH,,,,,2,1,1
87,61903,LOUIS TRAUTH,0.121,BORDEN,SMITH,,,,3,1,1
88,61903,LOUIS TRAUTH,0.1321,SMITH,,,,,2,1,1
89,61903,LOUIS TRAUTH,0.139,,,,,,1,1,0
90,61903,LOUIS TRAUTH,0.169,,,,,,1,1,1
80,44115,MEADOW GOLD,,,,,,,0,1,1
81,44115,MEADOW GOLD,,,,,,,0,1,1
82,44115,MEADOW GOLD,,,,,,,0,1,1
83,44115,MEADOW GOLD,,,,,,,0,1,0
84,44115,MEADOW GOLD,,,,,,,0,1,1
85,44115,MEADOW GOLD,,,,,,,0,1,1
86,44115,MEADOW GOLD,,,,,,,0,1,1
87,44115,MAPLE GROVE,0.122,,,,,,1,0,1
88,44115,MAPLE GROVE,0.153,,,,,,1,0,1
89,44115,MAPLE GROVE,0.1509,,,,,,1,0,0
90,44115,TAMARACK,0.135,MAPLE GROVE,,,,,2,0,1
80,51169,LOCKIE-LEE,0.129,,,,,,1,0,1
81,51169,OBERLIN FARMS,0.127,,,,,,1,0,1
82,51169,OBERLIN FARMS,0.127,HILLSIDE,,,,,2,0,1
83,51169,OBERLIN FARMS,0.129,,,,,,1,0,0
84,51169,OBERLIN FARMS,0.129,HILLSIDE,,,,,2,0,1
85,51169,OBERLIN FARMS,0.129,,,,,,1,0,1
86,51169,OBERLIN FARMS,0.129,,,,,,1,0,1
87,51169,OBERLIN FARMS,0.129,,,,,,1,0,1
88,51169,OBERLIN FARMS,0.131,,,,,,1,0,1
89,51169,OBERLIN FARMS,0.142,,,,,,1,0,0
90,51169,OBERLIN FARMS,0.159,,,,,,1,0,1
81,50815,DAIRYMENS,,,,,,,0,0,1
83,50815,DAIRYMENS,,,,,,,0,0,0
84,50815,DAIRYMENS,0.129,,,,,,1,0,1
85,50815,DAIRYMENS,,,,,,,0,0,1
86,50815,DAIRYMENS,,,,,,,0,0,1
87,50815,DAIRYMENS,0.138,,,,,,1,0,1
88,50815,DAIRYMENS,0.138,MEADOWBROOK,,,,,2,0,1
89,50815,DAIRYMENS,0.133,,,,,,1,0,0
90,50815,DAIRYMENS,0.159,,,,,,1,0,1
83,49783,SIDNEY DAIRY,0.1356,,,,,,1,0,0
84,49783,SIDNEY DAIRY,0.1495,,,,,,1,0,1
85,49783,SIDNEY DAIRY,0.1537,,,,,,1,0,1
86,49783,MEADOW GOLD,0.148,,,,,,1,1,1
88,49783,MEADOW GOLD,0.145,,,,,,1,1,1
89,49783,MEADOW GOLD,0.1506,,,,,,1,1,0
90,49783,REINHARD DAIRY,0.1607,,,,,,1,0,1
80,49130,SCHMITT DAIRY,0.1375,,,,,,1,0,1
81,49130,SCHMITT DAIRY,,,,,,,0,0,1
82,49130,SCHMITT DAIRY,0.1425,,,,,,1,0,1
83,49130,SCHMITT DAIRY,0.1425,,,,,,1,0,0
84,49130,SCHMITT DAIRY,0.1425,,,,,,1,0,1
85,49130,SCHMITT DAIRY,0.14,,,,,,1,0,1
87,49130,SCHMITT DAIRY,0.14,,,,,,1,0,1
88,49130,LOUIS TRAUTH,0.129,BORDEN,R & J DAIRY,,,,3,1,1
89,49130,LOUIS TRAUTH,0.139,R & J DAIRY,,,,,2,1,0
82,49775,SIDNEY DAIRY,0.1221,,,,,,1,0,1
83,49775,SIDNEY DAIRY,0.1356,,,,,,1,0,0
84,49775,SIDNEY DAIRY,0.1495,,,,,,1,0,1
85,49775,SIDNEY DAIRY,0.1537,,,,,,1,0,1
86,49775,SIDNEY DAIRY,0.148,,,,,,1,0,1
87,49775,SIDNEY DAIRY,0.145,,,,,,1,0,1
88,49775,SIDNEY DAIRY,0.145,,,,,,1,0,1
89,49775,SIDNEY DAIRY,0.1506,,,,,,1,0,0
90,49775,REITER,0.1686,LOUIS TRAUTH,,,,,2,0,1
80,51334,HOPEWELL,,,,,,,0,0,1
81,51334,HOPEWELL,,,,,,,0,0,1
82,51334,SIDNEY DAIRY,,,,,,,0,0,1
83,51334,ROYAL CREST,,,,,,,0,0,0
84,51334,SIDNEY DAIRY,,,,,,,0,0,1
85,51334,SIDNEY DAIRY,0.148,,,,,,1,0,1
86,51334,MEADOW GOLD,0.148,,,,,,1,1,1
87,51334,MEADOW GOLD,0.145,,,,,,1,1,1
88,51334,MEADOW GOLD,0.145,,,,,,1,1,1
89,51334,MEADOW GOLD,0.15,HEFNER DAIRY,,,,,2,1,0
90,51334,HEFNER DAIRY,0.178,SIDNEY DAIRY,,,,,2,0,1
80,49056,MEADOW GOLD,,GARVINS JERSEY F,,,,,1,1,1
81,49056,GARVINS JERSEY F,,MEADOW GOLD,,,,,1,0,1
82,49056,GARVINS JERSEY F,,MEADOW GOLD,,,,,1,0,1
83,49056,MEADOW GOLD,,GARVINS JERSEY F,,,,,1,1,0
84,49056,MEADOW GOLD,0.1245,UNITED DAIRY,,,,,2,1,1
85,49056,BEATRICE,0.13,UNITED DAIRY,,,,,2,1,1
86,49056,BEATRICE,0.1035,UNITED DAIRY,,,,,2,1,1
87,49056,UNITED DAIRY,0.1275,,,,,,1,0,1
88,49056,UNITED DAIRY,0.13,,,,,,1,0,1
89,49056,UNITED DAIRY,0.142,REITER,,,,,2,0,0
90,49056,UNITED DAIRY,0.157,MAPLE GROVE,REITER,,,,3,0,1
80,48900,MEADOW GOLD,0.1345,,,,,,1,1,1
81,48900,MEADOW GOLD,0.1475,,,,,,1,1,1
82,48900,MEADOW GOLD,0.145,,,,,,1,1,1
83,48900,MEADOW GOLD,0.1285,LAKELAND,,,,,2,1,0
84,48900,MEADOW GOLD,0.124,LAKELAND,,,,,2,1,1
85,48900,MEADOW GOLD,0.13,,,,,,1,1,1
86,48900,MEADOW GOLD,0.1215,,,,,,1,1,1
87,48900,BORDEN,0.122,,,,,,1,1,1
88,48900,BORDEN,0.1398,,,,,,1,1,1
89,48900,BORDEN,0.1495,,,,,,1,1,0
90,48900,BORDEN,0.1451,,,,,,1,1,1
81,51300,MEADOW GOLD,0.1475,BROUGHTON,,,,,2,1,1
82,51300,SUPERIOR,0.139,BROUGHTON,,,,,2,0,1
83,51300,MEADOW GOLD,,BROUGHTON,,,,,1,1,0
84,51300,MEADOW GOLD,0.1405,LAKELAND,,,,,2,1,1
85,51300,SUPERIOR,,LAKELAND,,,,,1,0,1
86,51300,MEADOW GOLD,0.126,SUPERIOR,BROUGHTON,LAKELAND,,,4,1,1
87,51300,REITER,0.1282,MEADOW GOLD,SUPERIOR,UNITED DAIRY,BROUGHTON,LAKELAND,6,0,1
88,51300,BORDEN,0.1352,BROUGHTON,REITER,,,,3,1,1
89,51300,BORDEN,0.143,BROUGHTON,REITER,,,,3,1,0
90,51300,BORDEN,0.146,BROUGHTON,REITER,,,,3,1,1
80,44792,EUCLID-RACE,,,,,,,0,0,1
81,44792,HILLSIDE,0.128,EUCLID-RACE,,,,,2,0,1
82,44792,HILLSIDE,,EUCLID-RACE,,,,,1,0,1
83,44792,DAIRYMENS,0.128,HILLSIDE,,,,,2,0,0
84,44792,DAIRYMENS,0.125,HILLSIDE,,,,,2,0,1
85,44792,DAIRYMENS,0.125,HILLSIDE,,,,,2,0,1
86,44792,DAIRYMENS,0.125,HILLSIDE,,,,,2,0,1
87,44792,HILLSIDE,0.1265,DAIRYMENS,,,,,2,0,1
88,44792,DAIRYMENS,0.1275,HILLSIDE,,,,,2,0,1
88,49791,MEADOW GOLD,0.134,,,,,,1,1,1
89,49791,MEADOW GOLD,0.142,,,,,,1,1,0
80,50021,REITER,0.116,HILLSIDE,SUPERIOR,,,,3,0,1
81,50021,REITER,0.116,HILLSIDE,,,,,2,0,1
82,50021,REITER,0.12,HILLSIDE,,,,,2,0,1
83,50021,REITER,0.1265,HILLSIDE,SUPERIOR,,,,3,0,0
84,50021,REITER,0.1265,HILLSIDE,SUPERIOR,,,,3,0,1
85,50021,REITER,0.1325,HILLSIDE,SUPERIOR,,,,3,0,1
86,50021,REITER,0.119,SUPERIOR,,,,,2,0,1
87,50021,REITER,0.117,SUPERIOR,,,,,2,0,1
88,50021,REITER,0.1371,50039,,,,,2,0,1
80,50211,BROOKFIELD DAIRY,0.119,,,,,,1,0,1
81,50211,BROOKFIELD DAIRY,0.129,,,,,,1,0,1
87,50211,DEAN,0.1255,,,,,,1,0,1
88,50211,DEAN,0.1336,BORDEN,,,,,2,0,1
89,50211,DEAN,,BORDEN,,,,,1,0,0
82,46383,H. MEYER,0.1294,LOUIS TRAUTH,ROYAL CREST,,,,3,1,1
83,46383,LOUIS TRAUTH,0.117,H. MEYER,ROYAL CREST,,,,3,1,0
85,46383,LOUIS TRAUTH,0.1159,H. MEYER,MEADOW GOLD,,,,3,1,1
86,46383,LOUIS TRAUTH,0.1159,H. MEYER,MEADOW GOLD,,,,3,1,1
87,46383,MEADOW GOLD,0.1199,H. MEYER,LOUIS TRAUTH,,,,3,1,1
88,46383,LOUIS TRAUTH,0.1252,H. MEYER,MEADOW GOLD,,,,3,1,1
89,46383,LOUIS TRAUTH,0.125,H. MEYER,,,,,2,1,0
90,46383,LOUIS TRAUTH,0.17,H. MEYER,,,,,2,1,1
80,45765,OAK FARMS,0.1047,BABCOCK DAIRY,MEADOW GOLD,,,,3,0,1
81,45765,OAK FARMS,0.1067,BABCOCK DAIRY,MEADOW GOLD,,,,3,0,1
82,45765,OAK FARMS,0.1067,BABCOCK DAIRY,MEADOW GOLD,SMITH,,,4,0,1
83,45765,MEADOW GOLD,0.1171,REITER,,,,,2,1,0
84,45765,MEADOW GOLD,0.119,HEFNER DAIRY,,,,,2,1,1
85,45765,MEADOW GOLD,0.1225,,,,,,1,1,1
86,45765,MEADOW GOLD,0.119,,,,,,1,1,1
87,45765,MEADOW GOLD,0.1226,HEFNER DAIRY,,,,,2,1,1
88,45765,MEADOW GOLD,0.1275,HEFNER DAIRY,,,,,2,1,1
89,45765,MEADOW GOLD,0.147,ARPS DAIRY,HEFNER DAIRY,,,,3,1,0
90,45765,HEFNER DAIRY,0.157,ARPS DAIRY,,,,,2,0,1
80,49593,CLAXON DISTRIBUT,,,,,,,0,0,1
81,49593,MEADOW GOLD,,,,,,,0,1,1
82,49593,MEADOW GOLD,,,,,,,0,1,1
83,49593,MEADOW GOLD,,,,,,,0,1,0
84,49593,MEADOW GOLD,,,,,,,0,1,1
85,49593,CLAXON DISTRIBUTORS,0.1265,,,,,,1,0,1
86,49593,CLAXON DISTRIBUT,,,,,,,0,0,1
87,49593,CLAXON DISTRIBUT,0.139,,,,,,1,0,1
88,49593,CLAXON DISTRIBUT,,,,,,,0,0,1
89,49593,CLAXON DISTRIBUT,0.14,,,,,,1,0,0
80,46565,HILLSIDE,0.138,DAIRYMENS,,,,,2,0,1
81,46565,DAIRYMENS,0.128,HILLSIDE,,,,,2,0,1
82,46565,DAIRYMENS,0.128,HILLSIDE,,,,,2,0,1
83,46565,DAIRYMENS,0.132,HILLSIDE,,,,,2,0,0
84,46565,DAIRYMENS,0.134,HILLSIDE,,,,,2,0,1
85,46565,DAIRYMENS,0.134,HILLSIDE,,,,,2,0,1
86,46565,DAIRYMENS,0.133,HILLSIDE,REITER,,,,3,0,1
87,46565,DAIRYMENS,0.133,HILLSIDE,,,,,2,0,1
88,46565,DAIRYMENS,0.133,HILLSIDE,,,,,2,0,1
89,46565,HILLSIDE,0.137,DAIRYMENS,,,,,2,0,0
87,48926,TOFT DAIRY,,SMITH,,,,,1,0,1
88,48926,TOFT DAIRY,,SMITH,,,,,1,0,1
89,48926,TOFT DAIRY,,SMITH,,,,,1,0,0
90,48926,TOFT DAIRY,0.1565,SMITH,ALLEYS,48942,,,4,0,1
80,45666,SUPERIOR,0.1164,,,,,,1,0,1
81,45666,BROOKFIELD DAIRY,0.1209,REITER,SUPERIOR,,,,3,0,1
88,45666,DEAN,0.1202,,,,,,1,0,1
83,44776,BABCOCK DAIRY,0.112,,,,,,1,0,0
84,44776,MEADOW GOLD,0.1122,BABCOCK DAIRY,SMITH,,,,3,1,1
85,44776,SMITH,0.128,MEADOW GOLD,SUPERIOR,,,,3,0,1
86,44776,SMITH,0.1265,MEADOW GOLD,,,,,2,0,1
87,44776,SMITH,0.1353,,,,,,1,0,1
88,44776,SMITH,0.1403,,,,,,1,0,1
89,44776,SMITH,0.1463,,,,,,1,0,0
90,44776,SMITH,0.1588,,,,,,1,0,1
80,45575,ALLEN DAIRY,0.1215,,,,,,1,0,1
81,45575,ALLEN DAIRY,0.1145,OAK FARMS,ARPS DAIRY,MEADOW GOLD,,,4,0,1
82,45575,ALLEN DAIRY,0.1135,ARPS DAIRY,MEADOW GOLD,OAK FARMS,,,4,0,1
83,45575,ALLEN DAIRY,0.1135,MEADOW GOLD,,,,,2,0,0
84,45575,ALLEN DAIRY,0.1114,ARPS DAIRY,MEADOW GOLD,,,,3,0,1
85,45575,ALLEN DAIRY,0.129,ARPS DAIRY,MEADOW GOLD,,,,3,0,1
86,45575,ALLEN DAIRY,0.119,ARPS DAIRY,MEADOW GOLD,,,,3,0,1
87,45575,ALLEN DAIRY,0.1215,ARPS DAIRY,MEADOW GOLD,,,,3,0,1
88,45575,ALLEN DAIRY,0.1275,ARPS DAIRY,MEADOW GOLD,,,,3,0,1
89,45575,ALLEN DAIRY,0.131,ARPS DAIRY,MEADOW GOLD,,,,3,0,0
90,45575,ALLEN DAIRY,0.157,ARPS DAIRY,,,,,2,0,1
80,44750,HILLSIDE,0.1177,,,,,,1,0,1
81,44750,HILLSIDE,0.1292,,,,,,1,0,1
85,44750,HILLSIDE,0.1325,,,,,,1,0,1
86,44750,HILLSIDE,0.13,,,,,,1,0,1
87,44750,DAIRYMENS,0.1314,,,,,,1,0,1
88,44750,HILLSIDE,0.1189,DAIRYMENS,,,,,2,0,1
89,44750,HILLSIDE,0.13,DAIRYMENS,,,,,2,0,0
84,48348,BORDEN,0.1383,POLAND DAIRY,,,,,2,1,1
85,48348,POLAND DAIRY,0.1297,,,,,,1,0,1
86,48348,POLAND DAIRY,0.1349,,,,,,1,0,1
87,48348,POLAND DAIRY,0.115,,,,,,1,0,1
88,48348,POLAND DAIRY,0.1379,,,,,,1,0,1
89,48348,POLAND DAIRY,0.1379,,,,,,1,0,0
90,48348,POLAND DAIRY,0.1379,,,,,,1,0,1
80,48520,BROUGHTON,,,,,,,0,0,1
81,48520,BROUGHTON,,,,,,,0,0,1
83,48520,BROUGHTON,,,,,,,0,0,0
84,48520,VALLEY BELL,,,,,,,0,0,1
85,48520,VALLEY BELL,,,,,,,0,0,1
86,48520,VALLEY BELL,,,,,,,0,0,1
87,48520,VALLEY BELL,,,,,,,0,0,1
88,48520,VALLEY BELL,,,,,,,0,0,1
82,48538,VALLEY BELL,0.135,,,,,,1,0,1
83,48538,VALLEY BELL,0.135,,,,,,1,0,0
84,48538,VALLEY BELL,0.135,,,,,,1,0,1
85,48538,VALLEY BELL,0.14,,,,,,1,0,1
86,48538,VALLEY BELL,0.14,,,,,,1,0,1
87,48538,VALLEY BELL,0.14,,,,,,1,0,1
88,48538,VALLEY BELL,0.14,,,,,,1,0,1
89,48538,VALLEY BELL,0.1425,,,,,,1,0,0
90,48538,VALLEY BELL,0.155,,,,,,1,0,1
86,48561,M. L. SPICER,0.1296,,,,,,1,0,1
87,48561,HEFNER DAIRY,0.14,,,,,,1,0,1
88,48561,HEFNER DAIRY,0.134,,,,,,1,0,1
80,44727,BEATRICE,0.1215,,,,,,1,1,1
81,44727,BEATRICE,0.1284,BORDEN,,,,,2,1,1
82,44727,BEATRICE,0.1235,SMITH,,,,,2,1,1
83,44727,BEATRICE,0.1272,BORDEN,,,,,2,1,0
